year,team_id,league_id,sub_league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera,zr,plays,plays_base,roe,eff,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5
2017,0,100,0,0,0,0,600,0,22717,6198,16122,397,755,3,34,134,68,0,48369,0,0.9825,4.1531,0.5075,0.0000,-266.4000,10643,10758,329,0.9587,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,100,0,0,0,0,602,0,22860,6237,16264,359,714,0,37,116,59,0,48801,0,0.9843,4.1497,0.5086,0.0000,-162.0000,10611,10577,304,0.9745,0,0,0,0,0,0,0,0,0,0,0,0
2019,0,100,0,0,0,0,600,0,22564,5990,16244,330,618,0,45,80,36,0,48738,0,0.9854,4.1057,0.4500,0.0000,-142.2000,10157,10115,279,0.9766,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,100,0,0,0,0,600,0,22642,6062,16284,296,472,0,32,148,45,0,48864,0,0.9869,4.1158,0.3041,0.0000,-22.8000,10051,9856,233,0.9961,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,100,0,0,0,0,600,0,22936,6212,16361,363,516,0,20,477,138,0,49086,0,0.9842,4.1388,0.2893,0.0000,-51.0000,10592,10407,270,0.9918,0,0,0,0,0,0,0,0,0,0,0,0
2022,0,100,0,0,0,0,600,0,22744,6358,16050,336,516,0,47,435,103,0,48159,0,0.9852,4.1876,0.2368,0.0000,0.6000,10437,10169,267,1.0001,0,0,0,0,0,0,0,0,0,0,0,0
2023,11,100,0,1,0,0,602,6020,22175,5789,16071,315,460,0,30,513,163,0,48213,0,0.9858,4.0806,0.3177,0.0000,74.7792,10318,9937,269,1.0113,7813,7264,2046,1553,1174,666,948,357,825,139,2102,0
2024,11,100,0,1,0,0,600,6000,21810,5488,16036,286,533,0,44,474,92,0,48111,0,0.9869,4.0264,0.1941,0.0000,88.6224,9774,9380,236,1.0168,7309,6815,1901,1441,1218,677,894,326,810,141,2092,0
2025,25,100,0,1,0,0,800,8000,29177,7408,21359,410,689,1,54,524,122,0,64077,0,0.9859,4.0405,0.2328,0.0000,80.3448,13218,12776,314,1.0100,10215,9572,2597,1956,1604,831,1221,447,1100,175,2650,0
2026,25,100,0,1,0,0,800,8000,29254,7436,21379,439,660,3,55,531,117,0,64137,0,0.9850,4.0435,0.2203,0.0000,78.4248,13098,12683,348,1.0053,9939,9283,2593,1979,1638,871,1251,464,1056,194,2714,0
2027,25,100,0,1,0,0,800,8000,29339,7450,21425,464,704,0,59,597,122,0,64281,0,0.9842,4.0428,0.2044,0.0000,-8.9076,13163,12791,367,1.0004,10081,9317,2672,2020,1573,820,1276,433,1103,144,2845,0
2028,25,100,0,1,0,0,800,8000,29408,7599,21392,417,711,0,60,566,109,0,64182,0,0.9858,4.0653,0.1926,0.0000,76.0188,13179,12739,350,1.0071,10025,9323,2579,1978,1661,895,1219,457,1040,180,2674,0
2021,0,101,0,0,0,0,400,0,15717,4506,10929,282,501,0,19,397,92,0,32790,0,0.9821,4.2365,0.2317,0.0000,-379.8000,7534,7947,220,0.9203,0,0,0,0,0,0,0,0,0,0,0,0
2022,0,101,0,0,0,0,400,0,15605,4555,10782,268,317,0,26,817,179,0,32349,0,0.9828,4.2670,0.2191,0.0000,-324.6000,7428,7767,202,0.9303,0,0,0,0,0,0,0,0,0,0,0,0
2023,19,101,0,6,0,0,400,4000,14877,3918,10737,222,370,0,22,430,126,0,32217,0,0.9851,4.0940,0.2930,0.0000,-89.9208,7024,7053,178,0.9707,5538,5101,1444,1058,759,383,625,200,581,88,1343,0
2024,17,101,0,6,0,0,400,4000,14963,3985,10732,246,388,1,35,360,95,0,32196,0,0.9836,4.1140,0.2639,0.0000,-111.1968,7282,7316,197,0.9684,5641,5143,1479,1056,840,433,702,225,636,115,1488,0
2025,17,101,0,6,0,0,402,4020,15090,4073,10737,280,449,0,32,278,76,0,32211,0,0.9814,4.1380,0.2734,0.0000,-175.0668,7160,7319,224,0.9477,5575,5090,1493,1058,798,387,654,194,595,93,1394,0
2026,17,101,0,6,0,0,402,4020,15324,4277,10804,243,490,0,30,435,96,0,32415,0,0.9841,4.1872,0.2207,0.0000,-182.2128,7124,7317,189,0.9478,5501,5050,1504,1050,827,373,682,190,678,102,1463,0
2027,17,101,0,6,0,0,400,4000,14981,4001,10733,247,425,1,29,420,100,0,32199,0,0.9835,4.1183,0.2381,0.0000,-175.9824,7186,7405,201,0.9433,5584,5119,1486,1050,845,410,701,234,611,83,1435,0
2028,17,101,0,6,0,0,400,4000,15278,4228,10750,300,454,0,29,416,117,0,32250,0,0.9804,4.1799,0.2812,0.0000,-208.7004,7329,7541,231,0.9413,5743,5221,1542,1081,867,418,731,202,631,101,1495,0
