team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
1,2028,100,1,0,0,100,1000,3741,999,2697,45,85,0,7,80,18,0,8091,0,0.9880,4.1112,0.2250,0.0000
2,2028,100,1,0,0,100,1000,3675,932,2692,51,98,0,7,73,18,0,8076,0,0.9861,4.0386,0.2466,0.0000
3,2028,100,1,0,0,100,1000,3737,1047,2617,73,110,0,7,98,18,0,7854,0,0.9805,4.1986,0.1837,0.0000
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
9,2028,100,1,0,0,100,1000,3658,954,2654,50,83,0,5,85,16,0,7962,0,0.9863,4.0784,0.1882,0.0000
10,2028,100,1,0,0,100,1000,3644,919,2682,43,89,0,6,41,8,0,8049,0,0.9882,4.0265,0.1951,0.0000
11,2028,100,1,0,0,100,1000,3685,935,2694,56,80,0,6,69,9,0,8082,0,0.9848,4.0412,0.1304,0.0000
12,0,0,0,0,0,60,0,2296,645,1620,31,58,0,1,69,26,0,4860,0,0.9865,4.1944,0.3768,0.0000
13,0,0,0,0,0,66,0,2492,671,1793,28,42,0,3,66,32,0,5379,0,0.9888,4.1227,0.4848,0.0000
14,0,0,0,0,0,66,0,2527,701,1782,44,64,0,6,63,28,0,5349,0,0.9826,4.1778,0.4444,0.0000
15,0,0,0,0,0,60,0,2296,631,1632,33,56,0,6,37,16,0,4899,0,0.9856,4.1574,0.4324,0.0000
16,2028,101,6,0,0,100,1000,3887,1110,2690,87,128,0,8,92,27,0,8070,0,0.9776,4.2379,0.2935,0.0000
17,2028,101,6,0,0,100,1000,3802,1042,2698,62,102,0,4,56,15,0,8094,0,0.9837,4.1586,0.2679,0.0000
18,2028,101,6,0,0,100,1000,3785,1037,2680,68,112,0,8,136,46,0,8040,0,0.9820,4.1608,0.3382,0.0000
19,2028,101,6,0,0,100,1000,3804,1039,2682,83,112,0,9,132,29,0,8046,0,0.9782,4.1622,0.2197,0.0000
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000
24,2028,100,1,0,0,100,1000,3593,861,2679,53,63,0,6,53,9,0,8037,0,0.9852,3.9642,0.1698,0.0000
25,2028,100,1,0,0,100,1000,3675,952,2677,46,103,0,16,67,13,0,8031,0,0.9875,4.0669,0.1940,0.0000
