team_id,year,league_id,sub_league_id,division_id,g,w,l,pos,pct,gb,streak,magic_number
1,2017,100,0,0,100,55,45,1,0.5500,0.0000,1,0
1,2018,100,0,0,101,51,50,2,0.5050,1.0000,-2,1000
1,2019,100,0,0,100,49,51,2,0.4900,1.0000,1,1000
1,2020,100,0,0,100,30,70,3,0.3000,26.0000,-1,1000
1,2021,100,0,0,100,36,64,2,0.3600,24.0000,-5,1000
1,2022,100,0,0,100,50,50,2,0.5000,4.0000,-1,1000
1,2023,100,0,0,100,54,46,2,0.5400,6.5000,1,1000
1,2024,100,0,0,100,55,45,2,0.5500,2.0000,-1,1000
1,2025,100,0,0,100,52,48,3,0.5200,13.0000,4,1000
1,2026,100,0,0,100,45,55,3,0.4500,22.0000,2,1000
1,2027,100,0,0,100,42,58,3,0.4200,19.0000,1,1000
2,2017,100,0,0,100,54,46,2,0.5400,1.0000,1,1000
2,2018,100,0,0,100,36,64,3,0.3600,15.5000,1,1000
2,2019,100,0,0,100,36,64,3,0.3600,14.0000,-1,1000
2,2020,100,0,0,100,31,69,2,0.3100,25.0000,-6,1000
2,2021,100,0,0,100,32,68,3,0.3200,28.0000,3,1000
2,2022,100,0,0,100,32,68,3,0.3200,22.0000,1,1000
2,2023,100,0,0,100,41,59,3,0.4100,19.5000,-1,1000
2,2024,100,0,0,100,57,43,1,0.5700,0.0000,2,-1
2,2025,100,0,0,100,65,35,1,0.6500,0.0000,-4,-6
2,2026,100,0,0,100,52,48,2,0.5200,15.0000,-1,1000
2,2027,100,0,0,100,58,42,2,0.5800,3.0000,-1,1000
3,2017,100,0,0,100,47,53,3,0.4700,8.0000,-1,1000
3,2018,100,0,0,101,52,49,1,0.5149,0.0000,3,-1
3,2019,100,0,0,100,50,50,1,0.5000,0.0000,1,0
3,2020,100,0,0,100,56,44,1,0.5600,0.0000,5,-24
3,2021,100,0,0,100,60,40,1,0.6000,0.0000,-2,-23
3,2022,100,0,0,100,54,46,1,0.5400,0.0000,1,-3
3,2023,100,0,0,101,61,40,1,0.6040,0.0000,-1,-6
3,2024,100,0,0,100,29,71,3,0.2900,28.0000,1,1000
3,2025,100,0,0,100,36,64,4,0.3600,29.0000,-5,1000
3,2026,100,0,0,100,37,63,4,0.3700,30.0000,-2,1000
3,2027,100,0,0,100,38,62,4,0.3800,23.0000,1,1000
9,2017,100,0,1,100,47,53,3,0.4700,2.0000,-1,1000
9,2018,100,0,1,100,46,54,3,0.4600,23.0000,-5,1000
9,2019,100,0,1,100,64,36,1,0.6400,0.0000,2,-10
9,2020,100,0,1,100,61,39,2,0.6100,7.0000,1,1000
9,2021,100,0,1,100,61,39,2,0.6100,1.0000,2,1000
9,2022,100,0,1,100,63,37,1,0.6300,0.0000,-1,-3
9,2023,100,0,1,101,62,39,1,0.6139,0.0000,1,-6
9,2024,100,0,1,100,65,35,2,0.6500,5.0000,-2,1000
9,2025,100,0,1,100,59,41,2,0.5900,21.0000,-2,1000
9,2026,100,0,1,100,75,25,2,0.7500,1.0000,1,1000
9,2027,100,0,1,100,61,39,2,0.6100,18.0000,2,1000
10,2017,100,0,1,100,48,52,2,0.4800,1.0000,-1,1000
10,2018,100,0,1,100,47,53,2,0.4700,22.0000,-2,1000
10,2019,100,0,1,100,48,52,3,0.4800,16.0000,-2,1000
10,2020,100,0,1,100,54,46,3,0.5400,14.0000,7,1000
10,2021,100,0,1,100,49,51,3,0.4900,13.0000,1,1000
10,2022,100,0,1,100,42,58,3,0.4200,21.0000,1,1000
10,2023,100,0,1,100,55,45,2,0.5500,6.5000,1,1000
10,2024,100,0,1,100,70,30,1,0.7000,0.0000,1,-4
10,2025,100,0,1,100,80,20,1,0.8000,0.0000,2,-20
10,2026,100,0,1,100,76,24,1,0.7600,0.0000,-1,0
10,2027,100,0,1,100,79,21,1,0.7900,0.0000,13,-17
11,2017,100,0,1,100,49,51,1,0.4900,0.0000,1,0
11,2018,100,0,1,100,69,31,1,0.6900,0.0000,6,-21
11,2019,100,0,1,100,53,47,2,0.5300,11.0000,-1,1000
11,2020,100,0,1,100,68,32,1,0.6800,0.0000,-8,-6
11,2021,100,0,1,100,62,38,1,0.6200,0.0000,-1,0
11,2022,100,0,1,100,59,41,2,0.5900,4.0000,-1,1000
11,2023,100,0,1,100,28,72,3,0.2800,33.5000,-7,1000
11,2024,100,0,1,100,24,76,3,0.2400,46.0000,-1,1000
11,2025,100,0,1,100,27,73,3,0.2700,53.0000,1,1000
11,2026,100,0,1,100,31,69,3,0.3100,45.0000,1,1000
11,2027,100,0,1,100,38,62,3,0.3800,41.0000,-2,1000
12,2020,1000,0,0,60,26,34,3,0.4333,13.0000,-1,1000
13,2020,1000,0,0,60,39,21,1,0.6500,0.0000,2,-7
14,2020,1000,0,0,60,31,29,2,0.5167,8.0000,1,1000
15,2020,1000,0,0,60,24,36,4,0.4000,15.0000,-2,1000
16,2021,101,0,0,100,66,34,1,0.6600,0.0000,8,-41
16,2022,101,0,0,100,70,30,1,0.7000,0.0000,1,-40
16,2023,101,0,0,100,45,55,2,0.4500,5.0000,-4,1000
16,2024,101,0,0,100,42,58,2,0.4200,10.0000,1,1000
16,2025,101,0,0,101,52,49,1,0.5149,0.0000,1,-1
16,2026,101,0,0,101,53,48,2,0.5248,3.5000,-2,1000
16,2027,101,0,0,100,63,37,1,0.6300,0.0000,7,-11
17,2021,101,0,0,100,24,76,2,0.2400,42.0000,-12,1000
17,2022,101,0,0,100,29,71,2,0.2900,41.0000,-1,1000
17,2023,101,0,0,100,50,50,1,0.5000,0.0000,4,-4
17,2024,101,0,1,100,45,55,2,0.4500,16.0000,1,1000
17,2025,101,0,1,100,45,55,2,0.4500,8.0000,-7,1000
17,2026,101,0,1,100,38,62,2,0.3800,15.5000,-4,1000
17,2027,101,0,1,100,34,66,2,0.3400,18.0000,-4,1000
18,2021,101,0,1,100,71,29,1,0.7100,0.0000,6,-31
18,2022,101,0,1,100,70,30,1,0.7000,0.0000,13,-38
18,2023,101,0,1,100,58,42,1,0.5800,0.0000,-2,-10
18,2024,101,0,1,100,61,39,1,0.6100,0.0000,-1,-15
18,2025,101,0,1,100,53,47,1,0.5300,0.0000,4,-7
18,2026,101,0,1,101,54,47,1,0.5347,0.0000,11,-15
18,2027,101,0,1,100,52,48,1,0.5200,0.0000,4,-17
19,2021,101,0,1,100,39,61,2,0.3900,32.0000,-6,1000
19,2022,101,0,1,100,31,69,2,0.3100,39.0000,-10,1000
19,2023,101,0,1,100,47,53,2,0.4700,11.0000,2,1000
19,2024,101,0,0,100,52,48,1,0.5200,0.0000,-1,-9
19,2025,101,0,0,101,51,50,2,0.5050,1.0000,-1,1000
19,2026,101,0,0,100,56,44,1,0.5600,0.0000,1,-3
19,2027,101,0,0,100,51,49,2,0.5100,12.0000,-7,1000
24,2025,100,0,0,100,58,42,2,0.5800,7.0000,6,1000
24,2026,100,0,0,100,67,33,1,0.6700,0.0000,1,-14
24,2027,100,0,0,100,61,39,1,0.6100,0.0000,-1,-2
25,2025,100,0,1,100,23,77,4,0.2300,57.0000,-1,1000
25,2026,100,0,1,100,17,83,4,0.1700,59.0000,-1,1000
25,2027,100,0,1,100,23,77,4,0.2300,56.0000,-6,1000
